En,Zh,ImgBaseName,AudioBaseName
"I MEAN, BIG DEAL. HE'S FLYING.",我是說，沒什麼嘛，他在飛,17723465678970.jpg,17723465678980495.mp3
"YOU HAVEN'T SEEN MY STAFF AROUND, HAVE YOU?",你沒在附近看到我的棍棒吧？,17723465711910.jpg,17723465711930998.mp3
"THANKS, ANYWAY.",總之謝謝你,17723465740270.jpg,17723465740280773.mp3
SORRY.,不好意思,17723465766550.jpg,17723465766560793.mp3
MY STAFF!,我的棍棒！,17723465791110.jpg,1772346579113028.mp3
LOOKS LIKE I UNDERESTIMATED YOU.,看來是我低估你了,17723465822800.jpg,17723465822810549.mp3
WHAT IS THAT?,那是什麼？,17723465851120.jpg,1772346585113071.mp3
"AANG, NO!",安！不！,17723465904460.jpg,17723465904470941.mp3
AANG!,安！,17723465966990.jpg,17723465967000266.mp3
DID YOU SEE WHAT HE JUST DID? NOW THAT WAS SOME WATERBENDING.,你有看到他剛剛做的嗎？,17723465998620.jpg,17723465998630513.mp3
NOW THAT WAS SOME WATERBENDING.,那是截水神功！,17723466036560.jpg,17723466036570793.mp3
"Katara: AANG, ARE YOU OK?",安！你沒事吧？,17723466074950.jpg,17723466074970677.mp3
"HEY, KATARA. HEY, SOKKA. THANKS FOR COMING.",嘿，卡塔拉 嘿，蘇卡,17723466114560.jpg,17723466114570778.mp3
"THANKS FOR COMING. WELL, I COULDN'T LET YOU HAVE ALL THE GLORY.",謝謝你們趕過來,17723466138070.jpg,1772346613808073.mp3
"WELL, I COULDN'T LET YOU HAVE ALL THE GLORY. I DROPPED MY STAFF.",我不能讓你一個人獨攬榮耀,17723466176300.jpg,17723466176310162.mp3
I DROPPED MY STAFF. GOT IT.,-我的棍棒掉了 -我來！,17723466207180.jpg,17723466207200842.mp3
HA! THAT'S FROM THE WATER TRIBE!,這招是善水部落賞的！,17723466235910.jpg,17723466235920888.mp3
"HURRY UP, SOKKA! I'M JUST A GUY WITH A BOOMERANG.",快點！蘇卡,17723466259430.jpg,17723466259440538.mp3
I'M JUST A GUY WITH A BOOMERANG. I DIDN'T ASK FOR ALL THIS FLYING AND MAGIC.,我只是個用迴力鏢的普通而已,17723466290470.jpg,17723466290480415.mp3
I DIDN'T ASK FOR ALL THIS FLYING AND MAGIC.,我又不想要這些飛來飛去跟魔法大戰,17723466332600.jpg,17723466332610399.mp3
YIP YIP! YIP YIP!,飛飛！,17723466359310.jpg,17723466359320732.mp3
SHOOT THEM DOWN!,把他們射下來！,17723466382800.jpg,1772346638281038.mp3
GOOD NEWS FOR THE FIRE LORD. THE FIRE NATION'S GREATEST THREAT,對烈火國王真是好消息,17723466410900.jpg,17723466410910373.mp3
"THE FIRE NATION'S GREATEST THREAT IS JUST A LITTLE KID. THAT KID, UNCLE, JUST DID THIS.",烈火國最大的威脅只是個小孩,17723466467590.jpg,17723466467600696.mp3
"THAT KID, UNCLE, JUST DID THIS.",叔叔，那個小孩,17723466498010.jpg,17723466498020166.mp3
"THAT KID, UNCLE, JUST DID THIS. I WON'T UNDERESTIMATE HIM AGAIN.",才剛把這搞成這樣 我不會再低估他了,17723466543870.jpg,1772346654388072.mp3
DIG THIS SHIP OUT AND FOLLOW THEM.,把船挖出來，追蹤他們！,17723466578040.jpg,17723466578050985.mp3
Katara: HOW DID YOU DO THAT WITH THE WATER? IT WAS THE MOST AMAZING THING I'VE EVER SEEN.,你怎麼辦到的？用水那個？,17723466652690.jpg,17723466652710125.mp3
IT WAS THE MOST AMAZING THING I'VE EVER SEEN.,那是我看過最驚人的事了,17723466691930.jpg,17723466691940352.mp3
I DON'T KNOW. I JUST SORT OF DID IT.,我也不知道，莫名就用出來了,17723466731950.jpg,17723466731960393.mp3
WHY DIDN'T YOU TELL US YOU WERE THE AVATAR?,你為什麼不告訴我們你是神通王？,17723466775280.jpg,17723466775290254.mp3
BECAUSE I NEVER WANTED TO BE.,因為…我從來就不想當神通王,17723466820750.jpg,17723466820760376.mp3
"BUT, AANG, THE WORLD'S BEEN WAITING FOR THE AVATAR TO RETURN AND FINALLY PUT AN END TO THIS WAR.",安，可是全世界都在等神通王回歸,17723466866610.jpg,17723466866620705.mp3
AND FINALLY PUT AN END TO THIS WAR. AND HOW AM I GOING TO DO THAT?,然後終於替這場戰爭畫上句點,17723466900750.jpg,17723466900760598.mp3
AND HOW AM I GOING TO DO THAT?,但我要怎麼辦到？,17723466928280.jpg,17723466928290298.mp3
"ACCORDING TO LEGEND, YOU NEED TO FIRST MASTER WATER, THEN EARTH, THEN FIRE, RIGHT?",據傳說所述，你要先精通截水,17723466971230.jpg,17723466971240532.mp3
"THEN EARTH, THEN FIRE, RIGHT? THAT'S WHAT THE MONKS TOLD ME.",再來運土接振火對吧？,17723467000410.jpg,17723467000420177.mp3
"THAT'S WHAT THE MONKS TOLD ME. WELL, IF WE GO TO THE NORTH POLE,",和尚是這麼告訴我沒錯,17723467027920.jpg,17723467027920606.mp3
"WELL, IF WE GO TO THE NORTH POLE, YOU CAN MASTER WATERBENDING. WE COULD LEARN IT TOGETHER!",如果我們去北極 你就能精通截水神通,17723467079640.jpg,17723467079650157.mp3
WE COULD LEARN IT TOGETHER!,我們可以一起學！,17723467109230.jpg,1772346710924060.mp3
"AND, SOKKA, I'M SURE YOU'LL GET TO KNOCK SOME FIREBENDER HEADS ON THE WAY.",蘇卡，我肯定你在途中 會有機會敲到一些振火神通的頭,17723467156770.jpg,17723467156780583.mp3
I'D LIKE THAT. I'D REALLY LIKE THAT.,我很樂意，我真的很樂意,17723467197240.jpg,17723467197250593.mp3
"THEN WE'RE IN THIS TOGETHER. ALL RIGHT, BUT BEFORE I LEARN WATERBENDING,",那我們就全體一起去,17723467226400.jpg,1772346722641092.mp3
"ALL RIGHT, BUT BEFORE I LEARN WATERBENDING, WE HAVE SOME SERIOUS BUSINESS TO ATTEND TO",好，在我學截水神通之前,17723467259770.jpg,17723467259780913.mp3
"HERE, HERE, AND HERE.",這裡、這裡和這裡,17723467326890.jpg,17723467326900419.mp3
WHAT'S THERE?,那裡有什麼？,17723467349690.jpg,17723467349700870.mp3
HERE WE'LL RIDE THE HOPPING LLAMAS. THEN WAY OVER HERE WE'LL SURF ON THE BACKS OF GIANT KOI FISH.,在這裡我們要騎跳跳駝羊,17723467380620.jpg,17723467380630481.mp3
THEN WAY OVER HERE WE'LL SURF ON THE BACKS OF GIANT KOI FISH. THEN BACK OVER HERE WE'LL RIDE THE HOG MONKEYS.,然後在遠方這裡，我們會騎巨大鯉魚,17723467423980.jpg,17723467423990411.mp3
"THEN BACK OVER HERE WE'LL RIDE THE HOG MONKEYS. THEY DON'T LIKE PEOPLE RIDING THEM,",然後再回到這裡，我們會騎豬猴,17723467466510.jpg,1772346746652038.mp3
"THEY DON'T LIKE PEOPLE RIDING THEM, BUT THAT'S WHAT MAKES IT FUN!",牠們不喜歡被騎，但就是這樣才好玩,17723467508670.jpg,17723467508680986.mp3
